pattern,meaning_jp,neaning_en,example_jp,example_en,structure,notes,level
〜あげく,さいご に (わるい けっか),after all (bad result),考えたあげく、会社を辞めた。,After much thought I quit my job,Verbた + あげく,Often negative result,N2
〜あまり,〜しすぎて (わるい けっか),so much that (bad),うれしさのあまり泣いた。,I cried from too much happiness.,Nounの/Verbる + あまり,Strong emotion cause,N2
〜以上(は),〜だから,now that/since,約束した以上は守るべきだ。,Now that you promised you should keep it.,Clause + 以上(は),Strong reason,N2
〜一方(で),〜と どうじに,on the other hand,便利な一方で危険も多い。,Convenient but also dangerous.,Clause + 一方(で),Contrast,N2
〜うえに,〜だけでなく,besides/furthermore,彼は頭がいい上に親切だ。,He is smart and kind.,Clause + 上に,Adds info,N2
〜おそれがある,〜の かのうせい が ある,risk of,台風が来るおそれがある。,There is a risk of typhoon.,Verb dictionary + おそれがある,Formal warning,N2
〜かけだ,〜ちゅう,half done,読みかけの本。,A book I started reading.,Verb stem + かけ,,N2
〜きり,それ だけ,only/since then,彼に会ったきり連絡がない。,I met him once and no contact since.,Verbた + きり,Limited action,N2
〜くせに,なのに (ひなん),and yet (criticism),子供のくせに生意気だ。,Even though he's a child he's cheeky.,Noun + のくせに,Blaming tone,N2
〜ことから,〜が りゆう で,because,名前から女性だとわかる。,I know she's a woman from the name.,Clause + ことから,Reasoning,N2
〜ことなく,〜しない で,without doing,彼は休むことなく働いた。,He worked without rest.,Verbる + ことなく,Formal negative,N2
〜ことに,とても,very (emotion),残念なことに試験に落ちた。,Unfortunately I failed.,Adj + ことに,Speaker feeling,N2
〜ことになっている,きまり,it is arranged,この会社では制服を着ることになっている。,We are supposed to wear uniforms.,Verbる + ことになっている,Rule/system,N2
〜さえ,〜も,even,水さえあれば生きられる。,I can live if I even have water.,Noun + さえ,Extreme example,N2
〜しかない,ほか に ほうほう が ない,no choice but,行くしかない。,I have no choice but to go.,Verbる + しかない,Resigned tone,N2
〜次第,〜したら すぐ,as soon as,着き次第連絡します。,I'll contact you as soon as I arrive.,Verb stem + 次第,Business/formal,N2
〜上で,〜の あと で,after doing,内容を確認した上でサインする。,Sign after checking.,Verbた + 上で,Procedure,N2
〜ずに,〜ない で,without doing,朝ご飯を食べずに来た。,I came without eating.,Verbない stem + ずに,Written style,N2
〜だけあって,さすが,as expected,プロだけあって上手だ。,As expected of a pro he's good.,Noun + だけあって,Praise,N2
〜だけに,だから こそ,all the more,好きなだけに残念だ。,I like it so I'm extra disappointed.,Clause + だけに,Strong feeling,N2
〜たびに,〜の とき いつも,every time,会うたびにきれいになる。,She gets prettier each time.,Verbる + たびに,Repeated change,N2
〜っぽい,〜みたい,seems/like,子供っぽい。,Childish.,Noun + っぽい,Informal,N2
〜つつ,〜ながら,while doing,考えつつ歩く。,Walk while thinking.,Verb stem + つつ,Written,N2
〜つつも,〜けれど,although,知りつつも黙っていた。,Though I knew I stayed silent.,Verb stem + つつも,Conflict,N2
〜て以来,〜から ずっと,since then,日本に来て以来忙しい。,I've been busy since coming to Japan.,Verbて + 以来,Continuous state,N2
〜てたまらない,とても,can't help but,眠くてたまらない。,I can't stand being sleepy.,Adjて + たまらない,Strong feeling,N2
〜ということだ,〜だ そうだ,it means/that is,欠席ということだ。,That means he's absent.,Clause + ということだ,Explanation,N2
〜というものだ,ほんとう に,that's what you call,それは失礼というものだ。,That's what you call rude.,Clause + というものだ,Judgement,N2
〜にあたって,〜の とき に,on the occasion of,試験にあたって注意する。,Be careful for exam.,Noun + にあたって,Formal,N2
〜に違いない,きっと,I'm sure,彼は犯人に違いない。,He must be the culprit.,Clause + に違いない,Strong guess,N2
〜にほかならない,〜そのものだ,nothing but,成功は努力の結果にほかならない。,Success is nothing but effort.,Noun + にほかならない,Formal emphasis,N2
〜に限らず,〜だけ でなく,not limited to,子供に限らず大人も楽しめる。,Not only kids but adults.,Noun + に限らず,Generalization,N2
〜にかかわらず,〜でも regardless of,regardless of,天気にかかわらず行う。,Held regardless of weather.,Noun + にかかわらず,Formal,N2
〜に基づいて,〜を もと に,based on,データに基づいて判断する。,Judge based on data.,Noun + に基づいて,Formal,N2
〜にわたって,ひろい はんい に,over a period,全国にわたって雪。,Snow across the country.,Noun + にわたって,Wide range,N2
〜にわたり,あいだ ずっと,throughout,3時間にわたり会議した。,Meeting for 3 hours.,Noun + にわたり,Duration,N2
〜に応じて,〜に あわせて,according to,レベルに応じて教える。,Teach according to level.,Noun + に応じて,Adjustment,N2
〜に対し(て),〜に たいして,in contrast to,兄に対して弟は静かだ。,Compared to brother he's quiet.,Noun + に対して,Comparison,N2
〜に沿って,〜の ほうしん に したがい,along/based on,計画に沿って進める。,Proceed along plan.,Noun + に沿って,Policy direction,N2
〜にすぎない,〜だけ だ,only/merely,うわさにすぎない。,It's just a rumor.,Noun + にすぎない,Minimizing,N2
〜にしろ〜にしろ,どちら でも,whether A or B,行くにしろ行かないにしろ連絡して。,Whether you go or not contact me.,Clause + にしろ,Either way,N2
〜ものの,けれど,although,安いものの質が悪い。,Cheap but bad quality.,Clause + ものの,Written contrast,N2
〜わけがない,ぜったい ない,there's no way,そんなことあるわけがない。,There's no way that's true.,Clause + わけがない,Strong denial,N2
